gene_name,gene_id,full_name,synonyms,tf_function_go,tf_process_go,n_function_terms,n_process_terms,evidence_codes,has_dna_binding,is_activator,is_repressor
MSN1,S000005476,Transcriptional activator,YOL116W|FUP1|HRB382|MSS10|PHD2,GO:0000981|GO:0003677,GO:0045944,4,9,HDA|IBA|IDA|IEA|IGI|IMP,True,True,False
MSN2,S000004640,Stress-responsive transcriptional activator,YMR037C|stress-responsive transcriptional activator MSN2,GO:0000981|GO:0003677,GO:0006357|GO:0045944,13,41,HDA|IBA|IDA|IEA|IGI|IMP,True,True,False
MSN4,S000001545,Stress-responsive transcriptional activator,YKL062W|stress-responsive transcriptional activator MSN4,GO:0000981|GO:0003677,GO:0045944,16,39,IBA|IDA|IEA|IGI|IMP|IPI,True,True,False
MSS11,S000004774,Transcription factor,YMR164C,,GO:0045944,1,12,IBA|IC|IDA|IEA|IGI|IMP|ND,False,True,False
MTF1,S000004841,Mitochondrial RNA polymerase specificity factor,YMR228W|RNA polymerase specificity factor,GO:0003677,,8,5,HDA|IBA|IDA|IEA|IMP|IPI,True,False,False
MUS81,S000002794,Subunit of structure-specific Mms4p-Mus81p endonuclease,YDR386W|SLX3,GO:0003677,,11,20,IBA|IDA|IEA|IGI|IMP,True,False,False
NAP1,S000001756,Histone chaperone and assembly chaperone for Rps6a/b,YKR048C|histone chaperone NAP1,GO:0003677,,8,12,IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
NCB2,S000002805,Subunit of a heterodimeric NC2 transcription regulator complex,YDR397C|YDR1|negative cofactor 2 transcription regulator complex subunit NCB2,,GO:0000122|GO:0045944,11,16,IBA|IDA|IEA|IGI|IMP|IPI,False,True,True
NDT80,S000001166,Meiosis-specific transcription factor,YHR124W|transcription factor NDT80,GO:0003677|GO:0003700,GO:0006355|GO:0045944,8,16,HDA|IBA|IDA|IEA|IMP,True,True,False
NGG1,S000002583,Subunit of chromatin modifying histone acetyltransferase complexes,YDR176W|ADA3|SWI7|histone acetyltransferase NGG1,,GO:0006357|GO:0045893,3,7,IBA|IDA|IEA,False,False,False
NHP10,S000002160,Non-essential INO80 chromatin remodeling complex subunit,YDL002C|HMO2,GO:0003677,,4,4,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
NHP6A,S000006256,High-mobility group (HMG) protein,YPR052C|high-mobility group nucleosome-binding protein,GO:0003677,,8,13,IBA|IC|IDA|IEA|IGI,True,False,False
NHP6B,S000002157,High-mobility group (HMG) protein,YBR089C-A|YBR090C-A|high-mobility group nucleosome-binding protein,GO:0003677,GO:0006366,4,9,HDA|IBA|IDA|IEA|IGI,True,False,False
NOT3,S000001300,"Component of the CCR4-NOT core complex, involved in mRNA decapping",YIL038C|CCR4-NOT core subunit NOT3,,GO:0006355,1,8,IBA|IDA|IEA|IMP|IPI,False,False,False
NOT5,S000006276,"Component of the CCR4-NOT core complex, involved in mRNA decapping",YPR072W|CCR4-NOT core subunit NOT5,,GO:0006355,1,10,IBA|IDA|IEA|IMP|IPI,False,False,False
NRG1,S000002450,Transcriptional repressor,YDR043C|transcriptional regulator NRG1,GO:0000981|GO:0001227|GO:0003677,GO:0000122|GO:0006357,9,17,IBA|IDA|IEA|IGI|IMP|IPI,True,False,True
NRG2,S000000270,Transcriptional repressor,YBR066C,GO:0000981|GO:0003677,GO:0000122|GO:0006357,5,8,IBA|IDA|IEA|IGI|IMP,True,False,True
NSI1,S000002433,RNA polymerase I termination factor,YDR026C|YTT1,GO:0003677|GO:0003700,GO:0006355,4,4,HDA|IBA|IDA|IEA|IMP,True,False,False
NSR1,S000003391,"Nucleolin, nucleolar protein that binds nuclear localization sequences",YGR159C|SHE5,GO:0003677,,11,5,HDA|IBA|IDA|IEA|IMP|TAS,True,False,False
NTG1,S000000013,DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase,YAL015C|FUN33|SCR1|ogg2|bifunctional N-glycosylase/AP lyase NTG1,GO:0003677,,16,16,HDA|IBA|IDA|IEA|IMP,True,False,False
NTG2,S000005403,DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase,YOL043C|SCR2|bifunctional N-glycosylase/AP lyase NTG2,GO:0003677,,19,12,IBA|IDA|IEA,True,False,False
NUP100,S000001551,FG-nucleoporin component of central core of the nuclear pore complex,YKL068W|NSP100|FG-nucleoporin NUP100|[NUP100+],,GO:0045893,16,17,IBA|IDA|IEA|IGI|IMP|IPI,False,False,False
NUP120,S000001540,Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC),YKL057C|RAT2,,GO:0000122|GO:0045893|GO:0045944,2,25,IBA|IDA|IEA|IGI|IMP,False,True,True
NUP133,S000001790,Subunit of Nup84p subcomplex of nuclear pore complex (NPC),YKR082W|RAT3,,GO:0000122|GO:0045893|GO:0045944,3,26,IBA|IDA|IEA|IGI|IMP,False,True,True
NUP145,S000003060,Essential protein with distinct roles in two nuclear pore subcomplexes,YGL092W|RAT10|nucleocytoplasmic transporter NUP145,,GO:0045893,14,26,IDA|IEA|IGI|IMP|IPI,False,False,False
NUP157,S000000907,Subunit of the inner ring of the nuclear pore complex (NPC),YER105C,GO:0003677,,5,13,IBA|IC|IDA|IEA|IGI|IMP,True,False,False
NUP159,S000001377,FG-nucleoporin component of central core of the nuclear pore complex,YIL115C|NUP158|RAT7|FG-nucleoporin NUP159,,GO:0045892,4,23,IBA|IDA|IEA|IGI|IMP|IPI,False,False,False
NUP42,S000002600,FG-nucleoporin component of central core of the nuclear pore complex,YDR192C|FG-nucleoporin NUP42|RIP1|UIP1,,GO:0045892,16,16,IBA|IDA|IEA|IGI|IMP|IPI,False,False,False
NUP53,S000004762,FG-nucleoporin component of central core of nuclear pore complex (NPC),YMR153W|FG-nucleoporin NUP53,,GO:0006355|GO:0045893,9,23,IBA|IDA|IEA|IGI|IMP|IPI,False,False,False
NUP84,S000002274,Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC),YDL116W,,GO:0006355|GO:0045893|GO:0045944,3,23,IBA|IDA|IEA|IGI|IMP,False,True,False
NUP85,S000003803,Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC),YJR042W|RAT9,,GO:0045893,2,13,IBA|IDA|IEA|IMP,False,False,False
NUT1,S000003119,Component of the RNA polymerase II mediator complex,YGL151W|MED5|SSX4,,GO:0006357|GO:0006366,2,5,HDA|IBA|IDA|IEA|IMP|ND,False,False,False
NUT2,S000006372,Subunit of the RNA polymerase II mediator complex,YPR168W|MED10|mediator complex subunit NUT2,,GO:0000122|GO:0006357|GO:0045944,3,6,IBA|IDA|IEA|IGI|IMP|ND,False,True,True
OAF1,S000000048,Oleate-activated transcription factor,YAL051W|YAF1|oleate-activated transcription factor OAF1,GO:0000981|GO:0001228|GO:0003677,GO:0006355|GO:0045944,14,9,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,True,False
OAF3,S000001772,Putative transcriptional repressor with Zn(2)-Cys(6) finger,YKR064W,GO:0000981|GO:0003677,GO:0000122|GO:0006355|GO:0045944,8,4,HDA|IBA|IEA|IMP|ISA,True,True,True
OPI1,S000001012,Transcriptional regulator of a variety of genes,YHL020C|transcriptional regulator OPI1,GO:0003677,GO:0000122|GO:0006357|GO:0045944,5,10,HDA|IBA|IDA|IEA|IMP|IPI,True,True,True
ORC1,S000004530,Largest subunit of the origin recognition complex,YML065W|origin recognition complex subunit 1,GO:0003677,,13,10,IBA|IDA|IEA|IGI|IMP,True,False,False
ORC3,S000003927,Subunit of the origin recognition complex (ORC),YLL004W|origin recognition complex subunit 3,GO:0003677,,6,7,IBA|IDA|IEA|IMP,True,False,False
ORC4,S000006366,Subunit of the origin recognition complex (ORC),YPR162C|origin recognition complex subunit 4,GO:0003677,,4,6,IBA|IDA|IEA|IMP,True,False,False
ORC6,S000001160,Subunit of the origin recognition complex (ORC),YHR118C|origin recognition complex subunit 6,GO:0003677,,3,5,IDA|IEA|IMP,True,False,False
OTU1,S000001850,Deubiquitylation enzyme that binds to the chaperone-ATPase Cdc48p,YFL044C|ubiquitin-specific protease OTU1,,GO:0006355,9,8,HDA|IBA|IDA|IEA|IMP,False,False,False
PAF1,S000000483,Component of the Paf1p complex involved in transcription elongation,YBR279W,,GO:0000122|GO:0006357,5,37,IBA|IDA|IEA|IGI|IMP|IPI,False,False,True
PAU8,S000002142,Protein of unknown function,YAL068C|seripauperin PAU8,,GO:0045944,2,3,HMP|IBA|ND,False,True,False
PCC1,S000028512,Component of the EKC/KEOPS protein complex,YKR095W-A|chromatin DNA-binding EKC/KEOPS complex subunit PCC1,,GO:0045944,1,9,IBA|IDA|IEA|IGI|IMP,False,True,False
PDC2,S000002488,Transcription factor for thiamine-regulated genes,YDR081C,GO:0003677,GO:0045944,4,6,IBA|IC|IDA|IEA|IGI|IMP,True,True,False
PDR1,S000002981,Transcription factor that regulates the pleiotropic drug response,YGL013C|AMY1|ANT1|BOR2|CYH3|NRA2|SMR2|TIL1|TPE1|TPE3|drug-responsive transcription factor PDR1,GO:0000981|GO:0001228|GO:0003677,GO:0006351|GO:0006355|GO:0045944,10,9,IDA|IEA|IGI|IMP,True,True,False
PDR3,S000000101,Transcriptional activator of the pleiotropic drug resistance network,YBL005W|AMY2|TPE2|drug-responsive transcription factor PDR3,GO:0000981|GO:0001228|GO:0003677,GO:0006351|GO:0006355|GO:0045944,11,9,HDA|IBA|IDA|IEA|IGI|IMP,True,True,False
PDR8,S000004256,Transcription factor,YLR266C,GO:0000981|GO:0003677,GO:0006351|GO:0006355|GO:0045944,10,4,IDA|IEA|IMP|ISA,True,True,False
PGD1,S000002993,Subunit of the RNA polymerase II mediator complex,YGL025C|HRS1|MED3,,GO:0000122|GO:0006357|GO:0045944,9,4,IDA|IEA|IMP|IPI,False,True,True
PHD1,S000001526,Transcriptional activator that enhances pseudohyphal growth,YKL043W,GO:0003677|GO:0003700,GO:0045944,7,3,HDA|IBA|IDA|IEA|IMP,True,True,False
PHO2,S000002264,Homeobox transcription factor,YDL106C|phoB|BAS2|GRF10,GO:0000981|GO:0001228|GO:0003677,GO:0006355|GO:0006357|GO:0045944,16,17,HDA|IBA|IDA|IEA|IGI|IMP,True,True,False
PHO23,S000005041,Component of the Rpd3L histone deacetylase complex,YNL097C,,GO:0000122|GO:0045944,4,18,HDA|IBA|IDA|IEA|IMP,False,True,True
PHO4,S000001930,Basic helix-loop-helix (bHLH) transcription factor of the myc-family,YFR034C|phoD|phosphate-sensing transcription factor PHO4,GO:0000981|GO:0003677|GO:0003700,GO:0000122|GO:0006357|GO:0045944,10,10,HDA|IBA|IDA|IEA|IGI|IMP,True,True,True
PHO80,S000005361,Cyclin,YOL001W|phoR|AGS3|TUP7|VAC5,,GO:0000122,3,10,IBA|IDA|IEA|IGI|IMP|IPI,False,False,True
PHO85,S000005952,Cyclin-dependent kinase,YPL031C|phoU|LDB15|cyclin-dependent serine/threonine-protein kinase PHO85,,GO:0000122,19,37,HDA|HGI|IBA|IDA|IEA|IGI|IMP|IPI,False,False,True
PHR1,S000005913,DNA photolyase involved in photoreactivation,YOR386W|deoxyribodipyrimidine photo-lyase PHR1,GO:0003677,,9,5,HDA|IBA|IDA|IEA|TAS,True,False,False
PIF1,S000004526,"DNA helicase, potent G-quadruplex DNA binder/unwinder",YML061C|TST1|DNA helicase PIF1,GO:0003677,,17,26,HDA|IBA|IC|IDA|IEA|IGI|IMP,True,False,False
PIM1,S000000118,ATP-dependent Lon protease,YBL022C|ATP-dependent Lon protease PIM1,GO:0003677,,26,19,HDA|IBA|IDA|IEA|IGI|IMP,True,False,False
PIP2,S000005890,"Autoregulatory, oleate-activated transcription factor",YOR363C|oleate-activated transcription factor PIP2|OAF2,GO:0000981|GO:0001228|GO:0003677,GO:0006355|GO:0045944,12,9,IBA|IDA|IEA|IGI|IMP|IPI,True,True,False
POB3,S000004534,Subunit of the heterodimeric FACT complex (Spt16p-Pob3p),YML069W|FACT complex subunit POB3,GO:0003677,,4,11,IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
POG1,S000001384,DNA-binding transcriptional activator,YIL122W,,GO:0045944,1,10,HDA|IDA|IEA|IGI|IMP,False,True,False
POL1,S000005046,Catalytic subunit of the DNA polymerase I alpha-primase complex,YNL102W|CDC17|CRT5|HPR3|DNA-directed DNA polymerase alpha catalytic subunit POL1,GO:0003677,,26,12,HDA|IBA|IC|IDA|IEA|IMP,True,False,False
POL12,S000000131,B subunit of DNA polymerase alpha-primase complex,YBL035C|DNA-directed DNA polymerase alpha subunit POL12,GO:0003677,,3,9,IBA|IC|IDA|IEA|IGI|IMP|IPI,True,False,False
POL2,S000005206,Catalytic subunit of DNA polymerase (II) epsilon,YNL262W|DUN2|DNA polymerase epsilon catalytic subunit,GO:0003677,,30,32,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
POL3,S000002260,Catalytic subunit of DNA polymerase delta,YDL102W|CDC2|HPR6|TEX1|DNA-directed DNA polymerase delta POL3,GO:0003677,,25,17,IBA|IDA|IEA|IGI|IMP|TAS,True,False,False
POL30,S000000292,Proliferating cell nuclear antigen (PCNA),YBR088C|PCNA|proliferating cell nuclear antigen,GO:0003677,,8,36,IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
POL31,S000003766,Subunit of DNA polymerase delta (polymerase III),YJR006W|HYS2|HUS2|SDP5|DNA-directed DNA polymerase delta subunit POL31,GO:0003677,,8,12,IBA|IDA|IEA|TAS,True,False,False
POL4,S000000607,DNA polymerase IV,YCR014C|POLX|DNA-directed DNA polymerase IV,GO:0003677,,13,10,IBA|IC|IDA|IEA|IMP,True,False,False
POL5,S000000781,Protein involved in 60S assembly and pre-40S AFs recycling,YEL055C|DNA-directed DNA polymerase,GO:0003677,GO:0006355,9,7,HDA|IBA|IDA|IEA|IMP,True,False,False
PPR1,S000004004,Zinc finger transcription factor,YLR014C,GO:0000981|GO:0003677,GO:0006351|GO:0006355|GO:0045944,13,7,IBA|IC|IDA|IEA|IMP,True,True,False
PRI2,S000001528,Subunit of DNA primase,YKL045W|DNA primase subunit PRI2,GO:0003677,,9,8,IBA|IC|IDA|IEA|IGI|IMP,True,False,False
PSO2,S000004745,Nuclease required for DNA single- and double-strand break repair,YMR137C|SNM1|DNA cross-link repair protein PSO2,GO:0003677,,10,16,HDA|IBA|IDA|IEA|IGI|IMP,True,False,False
PUL4,S000005346,Putative zinc-cluster transcription factor,YNR063W,GO:0000981|GO:0003677,GO:0006351|GO:0006355,11,5,HDA|IBA|IEA|ND,True,False,False
PUT3,S000001498,Transcriptional activator,YKL015W,GO:0000981|GO:0001228|GO:0003677,GO:0006351|GO:0006355|GO:0045944,13,8,HDA|IC|IDA|IEA|IMP,True,True,False
PWR1,S000132614,Intergenic regulatory ncRNA,PWR1,,GO:0006357,1,2,IC|IDA|IMP|ND,False,False,False
PZF1,S000006390,Transcription factor IIIA (TFIIIA),YPR186C|TFC2,GO:0003677,GO:0045944,7,4,IBA|IC|IDA|IEA|IMP,True,True,False
RAD1,S000005943,Single-stranded DNA endonuclease (with Rad10p),YPL022W|LPB9|ssDNA endodeoxyribonuclease RAD1|RAD12,GO:0003677,,12,16,IBA|IDA|IEA|IMP|IPI,True,False,False
RAD10,S000004560,Single-stranded DNA endonuclease (with Rad1p),YML095C|DNA repair protein RAD10,GO:0003677,,9,13,IBA|IDA|IEA|IMP|IPI,True,False,False
RAD14,S000004814,Subunit of Nucleotide Excision Repair Factor 1 (NEF1),YMR201C|DNA repair protein RAD14,GO:0003677,,7,9,IBA|IDA|IEA|IPI,True,False,False
RAD16,S000000318,Nucleotide excision repair (NER) protein,YBR114W|PSO5|DNA repair protein RAD16,GO:0003677,,12,7,IDA|IEA|IMP,True,False,False
RAD17,S000005895,Checkpoint protein,YOR368W,GO:0003677,,6,12,IBA|IDA|IEA|IMP|IPI,True,False,False
RAD18,S000000662,E3 ubiquitin ligase,YCR066W|E3 ubiquitin-protein ligase RAD18,GO:0003677,,11,19,IBA|IDA|IEA|IGI|IMP,True,False,False
RAD2,S000003490,Single-stranded DNA endonuclease,YGR258C|ssDNA endodeoxyribonuclease RAD2,GO:0003677,GO:0006366,14,8,IBA|IDA|IEA|IGI|IMP,True,False,False
RAD23,S000000763,Protein with ubiquitin-like N terminus,YEL037C,,GO:0000122,13,12,HDA|IBA|IDA|IEA|IMP|IPI,False,False,True
RAD26,S000003796,Protein involved in transcription-coupled nucleotide excision repair,YJR035W|DNA-dependent ATPase RAD26,GO:0003677,,10,11,HDA|IBA|IDA|IEA|IGI|IMP,True,False,False
RAD27,S000001596,"5' to 3' exonuclease, 5' flap endonuclease",YKL113C|ERC11|RTH1|FEN1|multifunctional nuclease RAD27,GO:0003677,,19,16,HDA|IBA|IDA|IEA|IGI|IMP,True,False,False
RAD3,S000000973,5' to 3' DNA helicase,YER171W|REM1|TFIIH/NER complex ATP-dependent 5'-3' DNA helicase subunit RAD3,GO:0003677,GO:0006366,30,19,IBA|IDA|IEA|IMP,True,False,False
RAD30,S000002827,DNA polymerase eta,YDR419W|DBH1|DNA-directed DNA polymerase eta,GO:0003677,,10,17,IBA|IDA|IEA|IMP|IPI,True,False,False
RAD34,S000002722,Protein involved in nucleotide excision repair (NER),YDR314C,GO:0003677,,7,7,HDA|IBA|IEA|IMP|ND,True,False,False
RAD4,S000000964,Damaged-DNA binding subunit of Nuclear Excision Repair Factor 2,YER162C,GO:0003677,GO:0000122,10,9,IBA|IDA|IEA|IMP,True,False,True
RAD5,S000004022,DNA helicase/Ubiquitin ligase,YLR032W|REV2|SNM2|DNA helicase RAD5,GO:0003677,,15,16,HDA|IDA|IEA|IGI|IMP,True,False,False
RAD51,S000000897,Strand exchange protein,YER095W|MUT5|recombinase RAD51,GO:0003677,,26,22,IBA|IDA|IEA|IMP|IPI,True,False,False
RAD54,S000003131,DNA-dependent ATPase that stimulates strand exchange,YGL163C|XRS1|DNA-dependent ATPase RAD54,GO:0003677,,13,10,HDA|IBA|IDA|IEA|IMP,True,False,False
RAD55,S000002483,Protein that stimulates strand exchange,YDR076W|putative DNA-dependent ATPase RAD55,GO:0003677,,8,10,IBA|IDA|IEA|IMP|ISS,True,False,False
RAD57,S000002411,Protein that stimulates strand exchange,YDR004W|putative DNA-dependent ATPase RAD57,GO:0003677,,11,11,IBA|IDA|IEA|IMP|IPI|ISS,True,False,False
RAD6,S000003026,Ubiquitin-conjugating enzyme (E2),YGL058W|PSO8|UBC2|E2 ubiquitin-conjugating protein RAD6,,GO:0006366,10,39,IBA|IDA|IEA|IGI|IMP|IPI,False,False,False
RAD9,S000002625,DNA damage-dependent checkpoint protein,YDR217C|chromatin-binding protein RAD9,,GO:0045944,4,21,IBA|IC|IDA|IEA|IGI|IMP,False,True,False
RAP1,S000005160,Essential DNA-binding transcription regulator that binds many loci,YNL216W|GRF1|TBA1|TUF1|DNA-binding transcription factor RAP1|GRC4,GO:0000981|GO:0003677|GO:0003700,GO:0000122|GO:0006355|GO:0045944,20,19,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,True,True
RBA50,S000002935,Protein involved in transcription,YDR527W,,GO:0006366,1,3,HDA|IBA|IEA|IMP|ND,False,False,False
RCO1,S000004680,Essential component of the Rpd3S histone deacetylase complex,YMR075W,,GO:0045944,2,10,HDA|IBA|IDA|IEA|IGI|IMP|ND,False,True,False
RDH54,S000000277,DNA-dependent ATPase,YBR073W|TID1|DNA-dependent ATPase RDH54,GO:0003677,,16,17,IBA|IC|IDA|IEA|IMP,True,False,False
RDR1,S000005907,Transcriptional repressor involved in regulating multidrug resistance,YOR380W,GO:0000981|GO:0003677|GO:0003700,GO:0006351|GO:0006355|GO:0006357,12,6,HDA|IBA|IC|IEA|IMP,True,False,False
RDS1,S000000703,Putative zinc cluster transcription factor,YCR106W,GO:0000981|GO:0003677,GO:0006355|GO:0045944,8,4,HDA|IBA|IEA|IMP|ND,True,True,False
RDS2,S000006054,Transcription factor involved in regulating gluconeogenesis,YPL133C,GO:0000981|GO:0001228|GO:0003677,GO:0006355|GO:0045944,10,8,HDA|IBA|IC|IDA|IEA|IMP,True,True,False
REB1,S000000253,RNA polymerase I enhancer binding protein,YBR049C|GRF2|DNA-binding protein REB1|EBF1,GO:0003677|GO:0003700,GO:0006355|GO:0006357,5,6,IBA|IDA|IEA|IMP|TAS,True,False,False
RET1,S000005733,Second-largest subunit of RNA polymerase III,YOR207C|PDS2|RPC2|RPC128|C128|DNA-directed RNA polymerase III core subunit RET1,GO:0003677,GO:0006351,28,13,IBA|IDA|IEA|IGI,True,False,False
REV1,S000005873,Deoxycytidyl transferase,YOR346W|deoxycytidyl transferase,GO:0003677,,12,16,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
REV3,S000006088,Catalytic subunit of DNA polymerase zeta,YPL167C|PSO1|DNA-directed DNA polymerase,GO:0003677,,19,13,IBA|IDA|IEA|IGI,True,False,False
RFA1,S000000065,Subunit of heterotrimeric Replication Protein A (RPA),YAR007C|BUF2|FUN3|RPA1|replication factor A subunit protein RFA1|RPA70,GO:0003677,,11,25,HDA|IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
RFA2,S000005256,Subunit of heterotrimeric Replication Protein A (RPA),YNL312W|BUF1|RPA2|RPA32,GO:0003677,,7,22,IBA|IDA|IEA|IGI|IMP|IPI,True,False,False
RFA3,S000003709,Subunit of heterotrimeric Replication Protein A (RPA),YJL173C|RPA3|RPA14,GO:0003677,,4,21,IDA|IEA|IGI|IMP|IPI,True,False,False
RFC1,S000005743,Subunit of heteropentameric Replication factor C (RF-C),YOR217W|CDC44|replication factor C subunit 1,GO:0003677,,11,13,IBA|IDA|IEA|IGI|IMP,True,False,False
RFC2,S000003829,Subunit of heteropentameric Replication factor C (RF-C),YJR068W|replication factor C subunit 2,GO:0003677,,8,9,IBA|IDA|IEA|IMP|IPI|TAS,True,False,False
RFC3,S000005234,Subunit of heteropentameric Replication factor C (RF-C),YNL290W|replication factor C subunit 3,GO:0003677,,9,7,HDA|IBA|IDA|IEA|IPI|TAS,True,False,False
RFC4,S000005454,Subunit of heteropentameric Replication factor C (RF-C),YOL094C|replication factor C subunit 4,GO:0003677,,8,7,IBA|IDA|IEA|IPI,True,False,False
RFC5,S000000291,Subunit of heteropentameric Replication factor C (RF-C),YBR087W|replication factor C subunit 5,GO:0003677,,7,7,IBA|IDA|IEA|IMP|IPI,True,False,False
RFM1,S000005805,Component of the Sum1p-Rfm1p-Hst1p complex,YOR279C,,GO:0000122,2,2,IEA|IGI|IMP|IPI,False,False,True
RFX1,S000004166,Major transcriptional repressor of DNA-damage-regulated genes,YLR176C|CRT1,GO:0000981|GO:0003677|GO:0003700,GO:0000122|GO:0006355|GO:0006357|GO:0045944,7,7,HDA|IBA|IDA|IEA|IGI|IMP,True,True,True
RGM1,S000004794,Putative zinc finger DNA binding transcription factor,YMR182C,GO:0000981|GO:0003677,GO:0006357|GO:0045944,5,3,IBA|IDA|IEA|IMP|ISS,True,True,False
RGR1,S000004061,Subunit of the RNA polymerase II mediator complex,YLR071C|MED14,,GO:0000122|GO:0006357|GO:0045944,4,4,IBA|IDA|IEA|IMP|IPI,False,True,True
RGT1,S000001521,Glucose-responsive transcription factor,YKL038W,GO:0000981|GO:0001228|GO:0003677,GO:0000122|GO:0006355|GO:0045944,11,7,IC|IDA|IEA|IGI,True,True,True
RIM1,S000007222,ssDNA-binding protein essential for mitochondrial genome maintenance,YCR028C-A,GO:0003677,,5,7,HDA|IBA|IDA|IEA|IMP|ISS,True,False,False
RIM101,S000001019,Cys2His2 zinc-finger transcriptional repressor,YHL027W|RIM1|alkaline-responsive transcriptional regulator RIM101,GO:0001227|GO:0003677,GO:0000122|GO:0045944,5,11,IBA|IDA|IEA|IGI|IMP,True,True,True
RIM15,S000001861,Protein kinase involved in cell proliferation in response to nutrients,YFL033C|TAK1|protein kinase RIM15,,GO:0045944,22,39,HDA|IBA|IDA|IEA|IGI|IMP,False,True,False
RLM1,S000006010,MADS-box transcription factor,YPL089C,GO:0000981|GO:0003677,GO:0006357|GO:0045944,11,12,IBA|IDA|IEA|IMP,True,True,False
RME1,S000003276,Zinc finger protein involved in control of meiosis,YGR044C|CSP1,GO:0000981|GO:0003677,GO:0000122|GO:0045944,4,10,HDA|IDA|IEA|IMP,True,True,True
RMI1,S000005945,Subunit of the RecQ (Sgs1p) - Topo III (Top3p) complex,YPL024W|NCE4,GO:0003677,,4,28,HDA|IDA|IEA|IGI|IMP|IPI,True,False,False
ROF1,S000001220,Putative transcription factor containing a WOPR domain,YHR177W,GO:0003677,GO:0045944,2,1,IBA|IC|IDA|ISS,True,True,False
ROX1,S000006269,Heme-dependent repressor of hypoxic genes,YPR065W|REO1,GO:0000981|GO:0001227|GO:0003677,GO:0000122|GO:0006357,10,19,IBA|IC|IDA|IEA|IGI|IMP,True,False,True
ROX3,S000000189,Subunit of the RNA polymerase II mediator complex,YBL093C|MED19|NUT3|SSN7|SSX2|RMR1,,GO:0000122|GO:0006357|GO:0045944,3,6,IBA|IDA|IEA|IMP,False,True,True
RPA12,S000003824,RNA polymerase I subunit A12.2,YJR063W|RRN4|A12.2|DNA-directed RNA polymerase I core subunit RPA12,,GO:0000122|GO:0006351,7,15,IBA|IDA|IEA|IGI|IMP|IPI,False,False,True
RPA135,S000006214,RNA polymerase I second largest subunit A135,YPR010C|A135|RPA2|RRN2|SRP3|DNA-directed RNA polymerase I core subunit RPA135,GO:0003677,GO:0006351,27,13,IBA|IDA|IEA|IGI,True,False,False
RPA190,S000005868,RNA polymerase I largest subunit A190,YOR341W|A190|RRN1|DNA-directed RNA polymerase I core subunit RPA190,GO:0003677,GO:0006351,23,11,IBA|IDA|IEA|IGI|IMP,True,False,False
RPA43,S000005867,RNA polymerase I subunit A43,YOR340C|A43|DNA-directed RNA polymerase I subunit RPA43,,GO:0006351,3,4,IBA|IDA|IEA|IGI,False,False,False
RPA49,S000005192,RNA polymerase I subunit A49,YNL248C|A49|DNA-directed RNA polymerase I subunit RPA49,GO:0003677,GO:0006351,6,13,HMP|IBA|IDA|IEA|IGI|IMP,True,False,False
RPB10,S000005736,RNA polymerase subunit ABC10-beta,YOR210W|ABC10-beta|DNA-directed RNA polymerase core subunit RPB10,GO:0003677,GO:0006351|GO:0006366,14,14,IBA|IC|IDA|IEA|IGI|IMP,True,False,False
RPB11,S000005365,RNA polymerase II subunit B12.5,YOL005C|B12.5|DNA-directed RNA polymerase II core subunit RPB11,GO:0003677,GO:0006351|GO:0006366,9,7,IBA|IDA|IEA|IMP,True,False,False
RPB2,S000005677,RNA polymerase II second largest subunit B150,YOR151C|B150|RPB150|RPO22|SIT2|SOH2|DNA-directed RNA polymerase II core subunit RPB2,GO:0003677,GO:0006351|GO:0006366,31,13,HDA|IBA|IDA|IEA|IMP,True,False,False
RPB3,S000001283,RNA polymerase II third largest subunit B44,YIL021W|B44|DNA-directed RNA polymerase II core subunit RPB3,GO:0003677,GO:0006351|GO:0006366,11,7,IBA|IDA|IEA|IMP,True,False,False
RPB4,S000003676,RNA polymerase II subunit B32,YJL140W|CTF15|B32|DNA-directed RNA polymerase II subunit RPB4,,GO:0006366,10,15,IBA|IDA|IEA|IMP|IPI,False,False,False
RPB5,S000000358,RNA polymerase subunit ABC27,YBR154C|ABC27|DNA-directed RNA polymerase core subunit RPB5,GO:0003677,GO:0006351|GO:0006366,15,13,IBA|IDA|IEA|IGI|IMP,True,False,False
RPB7,S000002812,RNA polymerase II subunit B16,YDR404C|B16|DNA-directed RNA polymerase II subunit RPB7,,GO:0006351|GO:0006366,12,11,IBA|IDA|IEA|IGI|IMP|IPI,False,False,False
